Name,Followers,Category,Emails,Links,City,State
Boopville,27,CLOTHING BOUTIQUE,deitystore@gmail.com,https://www.facebook.com/BoopvilleOnline/,Oceanside,CA
Scribbles.store,na,CLOTHING BOUTIQUE,howdyscribbles@gmail.com,https://www.facebook.com/kindnessunderground/,Oceanside,CA
Becca's Boutiques,162,CLOTHING BOUTIQUE,beccasboutiques@gmail.com,https://www.facebook.com/beccasboutiques/,Oceanside,CA
Previously On,335,CLOTHING BOUTIQUE,previouslyondecor@gmail.com,https://www.facebook.com/previouslyonset/,Oceanside,CA
XARPOSH Boutique,14K,CLOTHING BOUTIQUE,Zunituni@gmail.com,https://www.facebook.com/xarposhboutiqueofficial/,Diamond Bar,CA
SP Boutique,141,CLOTHING BOUTIQUE,Sweetpea.ca.boutique@gmail.com,https://www.facebook.com/SPBoutiqueByNikki/?ref=page_internal,Diamond Bar,CA
Fashion Zone By Jenny,107,CLOTHING BOUTIQUE,Fashionzone.lemon@gmail.com,https://www.facebook.com/FashionbyJenny/,Diamond Bar,CA
Pantera PTO,132,CLOTHING BOUTIQUE,panteraptopresident@gmail.com,https://www.facebook.com/PanteraPTO/,Diamond Bar,CA
Great Eight Designs,16,CLOTHING BOUTIQUE,greateightdesigns@gmail.com,https://www.facebook.com/GreatEightDesigns/,Diamond Bar,CA
Bar Diamonds Usa,79,CLOTHING BOUTIQUE,bardiamondusa@gmail.com,https://www.facebook.com/bardiamondsusa/,Los Angeles,CA
"Sewing,crafting,diy community",71,CLOTHING BOUTIQUE,Thefabricshop4@gmail.com,https://www.facebook.com/sewyouknowhowtodiy/,Diamond Bar,CA
The Diamond Bar Community Foundation,na,CLOTHING BOUTIQUE,WalnutValleyRC@gmail.com,https://www.facebook.com/MyDBCF/,na,california
MobStar Clothing,734,CLOTHING BOUTIQUE,Mobstarclothing@gmail.com,https://www.facebook.com/MobstarClothing/,Walnut,CA
The Baby Shop,7K,CLOTHING BOUTIQUE,thebabyshopvacaville@gmail.com,https://www.facebook.com/thevacavillebabyshop/,Vacaville,CA
Christian's Corner,630,CLOTHING BOUTIQUE,christianduranbiz@gmail.com,https://www.facebook.com/christianscorner.co/,na,california
The A-list Boutique,277,CLOTHING BOUTIQUE,thealistboutique20@gmail.com,https://www.facebook.com/thealistboutique20/,na,california
Organik Supply Co.,151,CLOTHING BOUTIQUE,organiksupply@gmail.com,https://www.facebook.com/organiksupply/,Vacaville,CA
Tacos and T-Shirts,1K,CLOTHING BOUTIQUE,Shoptacosandtshirts@gmail.com,https://www.facebook.com/tacosandtshirts/,na,california
Graphic Expression,13K,CLOTHING BOUTIQUE,heroicoffice@gmail.com,https://www.facebook.com/graphicexp15/,na,california
Aella Boutique,134,CLOTHING BOUTIQUE,aellaboutique@gmail.com,https://www.facebook.com/pages/Aella-Boutique/163901360368825,Davis,CA
Little Ladies,225,CLOTHING BOUTIQUE,Littleladiescorner414@gmail.com,https://www.facebook.com/littleladiesexperience/,Vacaville,CA
Chloe and Elenore Boutique Pop Up Shop,162,CLOTHING BOUTIQUE,Chloeandelenore@gmail.com,https://www.facebook.com/chloeandelenoreboutique/,Fairfield,CA
Lysstique,78,CLOTHING BOUTIQUE,lysstique@gmail.com,https://www.facebook.com/lysstique/,Alhambra,CA
Shop 7,241,CLOTHING BOUTIQUE,113736340fzh@gmail.com,https://www.facebook.com/people/Shop-7/100064026375251/,na,california
QUIN,123,CLOTHING BOUTIQUE,qnlookcustomerservice@gmail.com,https://www.facebook.com/p/QUIN-100064620491982/,Los Angeles,CA
Jackie's Closet,115,CLOTHING BOUTIQUE,closetjackies.boutique@gmail.com,https://www.facebook.com/profile.php?id=100068505653650,Los Angeles,CA
FeedBar,,CLOTHING BOUTIQUE,gmail.com,https://www.facebook.com/p/FeedBar-100080086073960/,Los Angeles,CA
Vsxus,850,CLOTHING BOUTIQUE,us.vs.us.shop@gmail.com,https://www.facebook.com/vsXus/,Santa Ana,CA
Boutique by KAA,59,CLOTHING BOUTIQUE,boutiquebykaa@gmail.com,https://www.facebook.com/BoutiquebyKAA/,na,california
Filipino Voices: Past and Present,na,CLOTHING BOUTIQUE,usacanada@gmail.com,https://www.facebook.com/groups/193759310745163/,na,california
Fashionettes,3K,CLOTHING BOUTIQUE,karolsbuenaventura@gmail.com,https://www.facebook.com/Fashionettesshoppe/,Cavite,california
ABT Apparel,448,CLOTHING BOUTIQUE,abtapparel2022@gmail.com,https://www.facebook.com/abtapparel2022/,na,california
Jaimes Fashion,35,CLOTHING BOUTIQUE,Fashionjaimes@gmail.com,https://www.facebook.com/jaimesfashion/,Cypress,CA
Lularoe by Stephanie Batezel,62,CLOTHING BOUTIQUE,Lularoestephaniebatezel@gmail.com,https://www.facebook.com/lularoestephaniebatezel/,Cypress,CA
CC Queen Customz,69,CLOTHING BOUTIQUE,ccqueencustomz@gmail.com,https://www.facebook.com/ccqueencustomz/about/,na,california
Suburban Girl,15K,CLOTHING BOUTIQUE,suburbangirl2019@gmail.com,https://www.facebook.com/suburbangirlgifts/,Cypress,TX
Fielder's Choice Apparel,9K,CLOTHING BOUTIQUE,FieldersChoiceApparel@gmail.com,https://www.facebook.com/FieldersChoiceApparel/,Covina,CA
Otaku Sugoi Merch,685,CLOTHING BOUTIQUE,radragzshop@gmail.com,https://www.facebook.com/OTAKUSUGOIMERCH/,Cypress,CA
Brenda Gabriela Boutique,44,CLOTHING BOUTIQUE,Brendagabrielaboutique@gmail.com,https://www.facebook.com/people/Brenda-Gabriela-Boutique/100076563750787/,Tracy,CA
Mi Vida Boutique,875,CLOTHING BOUTIQUE,shopmividaboutique@gmail.com,https://www.facebook.com/mividaboutiquee/,Tracy,CA
Lokes Looks Boutique Shop,24,CLOTHING BOUTIQUE,lokeslooks@gmail.com,https://www.facebook.com/LokesLooksBoutiqueShop/,Tracy,CA
LuxeBox,41,CLOTHING BOUTIQUE,luxebags365@gmail.com,https://www.facebook.com/people/LuxeBox/100071756455672/,Tracy,CA
Stylish Surkhaab By Deepy Sandhu,278,CLOTHING BOUTIQUE,designbydeepy@gmail.com,https://www.facebook.com/StylishSurkhaab/,Tracy,CA
Lularoe Brit Martinez,217,CLOTHING BOUTIQUE,lularoe.bmartinez@gmail.com,https://www.facebook.com/LuLaRoeBMrtnz/,Tracy,CA
I Custom,1K,CLOTHING BOUTIQUE,icustomtracy@gmail.com,https://www.facebook.com/icustomtracy/,Tracy,CA
Lularoe Stephanie Nicol,31,CLOTHING BOUTIQUE,LuLaRoeStephanieNicol@gmail.com,https://www.facebook.com/LuLaRoeStephanieNicol/,Tracy,CA
Lularoe with Leticia Rivera,170,CLOTHING BOUTIQUE,lularoeleticiarivera@gmail.com,https://www.facebook.com/lularoeleticiarivera/,Tracy,CA
Citrus Heights HART,746,CLOTHING BOUTIQUE,citrusheightshart@gmail.com,https://www.facebook.com/citrusheightshart/,na,california
Brandedcleopatra Boutiques,45,CLOTHING BOUTIQUE,brandedcleopatra@gmail.com,https://www.facebook.com/brandedcleopatraboutiques/,na,california
Home Sweet Tee,20,CLOTHING BOUTIQUE,Homesweettee@gmail.com,https://www.facebook.com/people/Home-Sweet-Tee/100063620825951/?locale=en_GB,na,california
Sunrise MarketPlace,13K,CLOTHING BOUTIQUE,diehardzandson@gmail.com,https://www.facebook.com/SunriseMarketPlace/,Citrus Heights,CA
LightWeavers Metaphysical Boutique,4K,CLOTHING BOUTIQUE,lightweaversacademy@gmail.com,https://www.facebook.com/LightWeaversAcademy/,Citrus Heights,CA
Teakae Tied,na,CLOTHING BOUTIQUE,kramarenko.tanya98@gmail.com,https://www.facebook.com/teakae.tied/,na,california
Woodside K8 PTO,82,CLOTHING BOUTIQUE,woodsidekto8pto@gmail.com,https://www.facebook.com/woodsidek8pto/,Citrus Heights,CA
Leera Boutique,28,CLOTHING BOUTIQUE,leeraboutique@gmail.com,https://www.facebook.com/shopleera/,na,california
Art to Wear,our,CLOTHING BOUTIQUE,WeHaveArtToWear@gmail.com,https://www.facebook.com/WeHaveArtToWear/,na,california
